Content,Role,Predicted Label
"Would you say that one of your siblings has influenced you in any particular way? Or is there one, maybe, with whom you have a closer, special relationship?",Interviewer,-
"I think I have a special connection with my little sister Anne-Lise. We all complement each other in some ways, in the sense that at some point in time and in some circumstances my big brother may be the one to inspire me, at another point, it could be my big sister or my little sister—it depends. We are close. Sometimes it is simply the people who are around us and available that inspire us or give us strength. But I have a special connection with my little sister who was born after me, Anne-Lise, because it was just me, her and Dad during the period of separation from Mom and the other brothers and sisters. Maybe I feel a little bit like a mother to her. At the same time, her and I, we complement each other in some ways: sometimes she would say something and I will complete her sentence, at other times I would think about something and she completes my thought. Something was created between us during that period, I can’t explain what it is, but I’d say it’s a good relationship.",Interviewee,Tension
"Has this always been the case, since you were young, or do you think it is due to this time when it was just the two of you and your father who were together, separated from your other siblings? In fact, this is more of a question about your childhood. Where did you grow up? What was it like, for you and your siblings, when you were growing up?",Interviewer,-
"If I have to talk about my childhood—I was born in Burundi in 1982 and when I was little, we moved to Rwanda. Dad was working in Burundi and he got a promotion in Rwanda, he went to work in Rwanda, I was one year old when we arrived in Rwanda. I’m not going to lie, I don’t remember much from when I was little, because I think I was too young. The only memory I have of Rwanda…of course, I played with the neighbours, with friends, with other kids, and so on. I remember the smells, the fences of the houses, the colours the doors were painted, things like that. And at the age of seven, I started school in first grade. When I was seven, I remember the road we had to walk to school; I remember my teacher who was very severe, he was old, old, old, but he was very, very severe. I have very few memories of Rwanda, because I left Rwanda at the age of eight to return to Burundi. But I can say that my childhood was like that of the other children: I had many toys… Most of my memories are from Burundi, not from Rwanda.",Interviewee,Tension
"Can you tell me about your memories from Burundi then? I guess your memories from Burundi are from the time when you came back from Rwanda. So, can you tell me about yourself, about your studies, about…",Interviewer,-
"Okay. When I returned to Burundi…well, as I told you, I was in Rwanda, I did first grade there. During the school holidays, my mother sent me to Burundi to join my little sister, who had left a year before, on the occasion of my aunt’s wedding, but who had stayed in Burundi, because she wasn’t going to school yet. So, two of my mother’s little sisters and her mom were in Burundi: my aunts and my grandmother lived in Burundi. And on Dad’s side there were two aunts, sisters—shangazi, as they are called—my dad’s two aunts. I was in Burundi…and some of our relatives were also living in Burundi. When I left Rwanda at the age of seven and when I arrived in Burundi, I…well, the grandmothers were spoiling us so much…it was like…we didn’t feel the time passing by. There were many activities to occupy our time, and we got a lot of little treats. I was the darling of my grandmothers, I remember that very well. This was also the time when I reunited with my little sister because I hadn’t seen her in a long time, and since we both weren’t going to school…I went to school for only a year and it had been a year since I had last seen her. I remember the games we played, the activities we did together; we spent a lot of time together at home. Reuniting with her was special. The thing that was maybe a bit difficult was the long separation from our parents. I arrived in Burundi, I think it was in 1990, and at that time some things were staring to happen in Rwanda. Dad told us to stay in Burundi in the meantime because [the situation in Rwanda] wasn’t safe—he lost his job, there were many small threats like that, but we were young and we didn’t fully understand these things. We stayed there, at the house of our two aunts. This separation and not understanding why you’re far away from your parents affected me a little bit, and I was always looking forward to reuniting with my parents. Time was going by so fast that I…this period lasted for a long time, but time was going fast, in the sense that I was a child, it was different, I was spoiled, but I wasn’t with my Mom and Dad. So, me and my sister, we automatically clung to each other and gave each other strength, encouraged one another, and so on. Fortunately, my aunts had children. Aunt Goretti—who was the one that got married and whose wedding my little sister went to—had a little boy, [Amand?], and her older sister had two daughters who were my sister’s age. So, I became a big sister to these three little girls and a little cousin. We lived harmoniously—a small house filled with many children. I started school. I went to a school in Cibitoke, that’s what it was called, Cibitoke, the Cibitoke neighbourhood. I went there from second to fifth grade. I wasn’t at the same school as my sister because my sister, she…since she was younger, we didn’t want her to go to a school far from home. She was at Libre, where my aunt was teaching. So I was more like [inaudible]. And my aunt’s two daughters were also at that school. What are my memories from school? I was young; children are carefree at that age; I played games, I was having fun, it was really nice. I don’t think that my childhood was traumatic, with the exception of the time when my aunt came to teach at my school. By the way, both of my mother’s sisters were teachers. [smiles] So, the youngest one, who had a little boy, came to my school to teach, and she was my teacher in Grade 5. My classmates could not stop teasing me. She wasn’t a harsh teacher, she lacked a sense of leadership, and the students were kidding around. I joined in the fun too, just to give her a little bit of a hard time. I remember, she was so gentle and the students loved her. Some of the students were saying things like, “Madame, can I carry your briefcase to your house?” There were always little girls or little boys who loved her very much and who carried her bag with our assignments to her house. I remember that during recess we used to play outside, and she would call me into the teachers’ office. She gave me some yogurt to drink, ikivuguto. I was young, I would drink and drink, and drink and eat the amandazi, small doughnuts. Then, I would go back outside, still chewing, and the children would see that I had been given a snack in the teachers’ office. And then I got beat up a little bit, the other kids were laughing, they were pushing me around. Sometimes I tried to sneak out snacks to give to my friends, but she would say, “No, wipe your mouth, it’s not allowed.” It was a small expression of favoritism—she was my aunt—but I know that the other kids…my friends didn’t like that at all. And I was, like, innocent—I would go back to the yard with milk on my face. [laughter] The children were teasing me. It was in Grade 5, I wasn’t a little girl anymore, but it’s…spoiling me rotten and we weren’t thinking that it could affect others who were less fortunate than us. Otherwise, what I specifically remember from that time was my role as big sister. At home, I wasn’t a princess anymore; it was more, like, “Okay, I’ll look after things, I’ll help grandma a little bit, I’ll help my two aunts with their children.” At that time, I quickly developed a sense of protectiveness towards the younger ones. And when I didn’t feel like doing that and wanted to behave like a child, I would remind myself that I was the big sister and would go back to being disciplined. But these moments weren’t too serious, it was just me thinking, “I want my mom!” Mom wasn’t there. That was a difficult time, but it allowed me to become who I am today. And to me they are still my little sisters, not my little cousins; and in some way this strengthened the bond I had with my own sister.",Interviewee,No Tension
"Okay, so, this was during the three years you mentioned when it was just you, your sister, and, as you said, your father?",Interviewer,-
"My dad arrived after that, shortly after.",Interviewee,No Tension
Okay. Did your brothers and sisters also join you or did they remain in Rwanda?,Interviewer,-
"Actually, I went to Burundi to join my sister, my aunts and my grandparents, but my older brother and sister, who were still going to school, remained with my parents in Rwanda. My mother had just had a fifth child, little Nelly. Surely, my parents weren’t going to move [to Burundi] because their lives were in Rwanda. We felt like we were on vacation, but since the situation [in Rwanda] wasn’t good, my dad wanted us to stay in Burundi. I think that things got much worse in 1992, especially in the area where we lived. Dad received threats, things like that. Once, he was even imprisoned for, like, 24 hours. And that was enough for Dad to want to protect our family. Some people had their houses attacked, some of the houses in our neighbourhood were burned down, it was…I remember that time rather well…we lived in Rwanda, in the Kicukiro neighbourhood, I think, I’m not sure…yeah, Kicukiro was where we lived. I remember there was a cemetery nearby and the [attackers] would hide in the cemetery during the night and would then attack the houses while people were asleep. It was quite dangerous. And my father was clearly a wanted man, to be killed during that time. So, in 1992, when…in hindsight, I think, “1992—that’s quite early.” But things were underway. What happened was that Dad…my mom’s big brother had been living here, in Canada, for a few years—he had been here for over five years at that point—and he was doing everything possible to bring Mom and the children here so that they can escape any further violence. So, Mom came here with the children in February 1992. And Dad found a way to join us in Burundi and then travel here. So, between 1990 and 1995…in fact, we were separated from Mom for five years, but Dad was with us from 1992 to 1995, while Mom was here.",Interviewee,Tension
