Content,Role,Predicted Label
Gakwisi (J.-B.G.): Please introduce yourself.,Interviewer,-
"Habimana (E.H.): ...  Habimana, I'm ..., well, I live in Trois-Rivières where I teach in the Department of Psychology at the Université du Québec à Trois-Rivières. I arrived in Quebec in 1980 with my family. I don’t know what else you would like me to say as an introduction...?",Interviewee,Tension
That’s good. What country are you from?,Interviewer,-
"... So I'm Rwandan and I grew up in Rwanda until I was 20 years old. After that I left the country to go to university in Belgium [inaudible, “at the age of”?] 20–21 years old.",Interviewee,No Tension
So you left Rwanda at the age of 20?,Interviewer,-
"I was 20 and a half, 21 years old when I left Rwanda. Let's say I was 21.",Interviewee,No Tension
And how old are you now?,Interviewer,-
I'm over 60 years old [smiles],Interviewee,No Tension
It's been a very long time!,Interviewer,-
Yes.,Interviewee,No Tension
"Tell us about your childhood memories from before leaving the country, before leaving Rwanda.",Interviewer,-
"... My childhood memories of Rwanda ... First ... when people—foreigners like my teachers at school—were saying, “Rwanda is a beautiful country, it's amazing,” I didn’t see its beauty. I never understood what they found beautiful about Rwanda. Because, for me, the country represented what I have lived and experienced there, the childhood memories that have marked me, and there weren’t too many beautiful, good things. So that's why I couldn’t see the beauty of the country.",Interviewee,No Tension
The people who were talking about the beauty of Rwanda were undoubtedly talking about its natural beauty. And I imagine that your family had neighbours. Do you have memories of your neighbours in Rwanda?,Interviewer,-
"Yes, of course, I have great memories of my neighbours. It must be said that—to briefly summarize my story—the Rwandan tradition is—and I think that’s still the case [makes an expression of doubt], maybe less today, but in my day this was common—I didn’t grow up in my parents’ house. I was raised in my grandparents’ house. My grandmother was a widow and according to the custom, her children, especially the girls, sent one of their children to grandma’s to help with her work. It’s a way of supporting an elderly mother who is alone, with no one to help, by having someone there helping with her household chores. My mother was very attached to her mom, so she sent me to live there. But there are other, more complex, circumstances that motivated my mother to send me to my grandma's house. It's a very long story [smiles]. Let's just say that I grew up in my grandmother's house and I know better the neighbours on my maternal side of the family than on the paternal side where I didn’t really live. I spent my whole childhood with my maternal grandmother until I started high school, which was a boarding school, and later left the country.",Interviewee,Tension
"As a boy, you must have had friends? You must have had friends? I imagine that you remember the friends you had when you lived at your grandmother's?",Interviewer,-
"Yes, I had good friends with whom I went to school; friends with whom I played games. We went to school, on foot, of course, or running, or playing ball, rolling the hoop, we would walk to school and walk back. These memories... they are all really nice. We didn’t have a care in the world.",Interviewee,No Tension
"“Playing ball”—you mean, soccer?",Interviewer,-
"Soccer, yes.",Interviewee,No Tension
Tell us about the region in Rwanda where you grew up. What region are you from? Just give us a sense of orientation a little bit in the country.,Interviewer,-
"I grew up in Gikongoro, in the Commune of Karama, on a hill called Kiraro. That's where my maternal grandparents were, while I was born in the neighbouring commune Rukondo, on the Kabirizi hill, where I later lived, although not for very long, when I was a little older, around the age of 13–15.",Interviewee,Tension
Is this region located in the north or in the south?,Interviewer,-
It's in the south.,Interviewee,No Tension
What are your memories of your parents?,Interviewer,-
