Content,Role,Predicted Label
"(I): Thank you again for agreeing to tell your life story. Before we begin, I’d like to ask you to introduce yourself to those who will have the chance to watch or listen to your life story.",Interviewer,-
"(Y): Okay. My name is  Ishimwe, I was born in Kigali in a family of four children and I'm the eldest, I have two younger brothers and one younger sister and… That's it.",Interviewee,No Tension
So you were born in Kigali and you are the eldest child in your family…,Interviewer,-
"Yes, that’s right.",Interviewee,No Tension
"Before I ask about your parents, I would like to know more about your grandparents on both sides. Do you remember your grandparents?",Interviewer,-
"I remember really well my maternal grandparents. I didn’t know my paternal grandfather, because, as far as I know, he died when I was a little child, or even before I was born. But I knew my maternal grandmother who also died when I was—if I remember correctly—10 years old. So I remember her vaguely, yeah.",Interviewee,Tension
"When you think about your grandparents—sometimes when we remember someone, we have specific [inaudible] memories. What can you tell us about your maternal grandparents?",Interviewer,-
"Whether I think about my maternal grandparents or my paternal grandmother, I remember the summer vacations, because we went there every summer. I remember how impatiently they waited for us and I remember especially the traditional dishes that they would make for us, even if we didn’t like eating that food very much. But they would prepare them with so much love… That's the memory I have engraved in my mind—how they wanted to make us happy, even though I— [laughs] I didn’t like the food very much, but it’s something that I remember, yeah.",Interviewee,Tension
Do you also remember the relationship—since we're mostly talking about your maternal grandparents—what kind of relationship did they have with your parents?,Interviewer,-
"I know that Mom was her dad's favourite. [laughs] Other than that—well, it was a pretty normal relationship.",Interviewee,Tension
Did you have a special relationship with your grandmother or grandfather? Or was it a more distant kind of relationship—just visiting the grandparents and then returning home?,Interviewer,-
"As I mentioned, we visited them every year and every time someone I knew was going to their house, I always took the time to write each one of them a letter, telling them how I was doing, how my life was going, asking them for news about themselves. I know I took the time to do this at least three times a year.",Interviewee,Tension
Going back to your parents now [inaudible] work—what did your parents do for a living?,Interviewer,-
"My father was a doctor and my mother always worked for an NGO, a non-governmental organization that helped orphaned children or children who came from families—who couldn’t take care of themselves. She was project coordinator there.",Interviewee,No Tension
So you come from a family where both parents worked?,Interviewer,-
Yes.,Interviewee,No Tension
"And how did they manage to look after you, the children, and work at the same time?",Interviewer,-
"My mother worked during the day, while we were at school, so when we came home after school she was always there. Sometimes, my dad worked at night because he was a doctor, but that wasn’t his regular schedule, it didn’t happen often… So almost every night we were at home with our parents.",Interviewee,No Tension
