Content,Role,Predicted Label
"Tell me about yourself, your parents and the commune where you grew up [inaudible].",Interviewer,-
"... My name is Berthe Kayitesi ... I am from Gisenyi in Rwanda. I was born in Gisenyi, but I spent part of my childhood with my maternal grandmother in the former Kibuye Prefecture ... the former commune of [inaudible]. ... my father's name was [inaudible], my mother's name was Mukabilima Spéciose, my grandmother's name was [inaudible] Valérie. I think that’s [inaudible], I think that's all.",Interviewee,Tension
Could you tell me your date of birth?,Interviewer,-
"...I was born on November 11, 1978 ...",Interviewee,No Tension
In Gisenyi?,Interviewer,-
In Gisenyi.,Interviewee,No Tension
Before going any further I would like to ... ask you [inaudible]…,Interviewer,-
[laughs] [break in the recording],Interviewee,No Tension
Tell me about your parents. What are your memories of your parents?,Interviewer,-
"... of my mother, I remember her courage in the face of life’s difficulties, she was a fighter. She made sure that everything was going well at home, but she was also very strict, that’s the side of her I didn’t like. But I remember her strong character, her courage, her fighting spirit. That’s my lasting memory of her. For example, I remember that every day she would get up at almost five o'clock, five-thirty, and would start working. She advanced ... quite quickly in life. She often regretted not having been able to continue her studies, she always told me: “You know, I was smart, but I was unlucky, so ... you must ... ” [laughs]. And also: “I was at the top of my class. How come you allow yourself not to be ... to fail?” So, [laughs] we had to be among the best students in school. And when we weren’t, she was on our case ... [laughs], so to speak. She was also a very beautiful woman.",Interviewee,Tension
And your dad?,Interviewer,-
"... my father ... my father had a very gentle character and ... he’d had a difficult past, but he almost never expressed or shared his feelings. He was someone very warm, very, very hospitable—how should I say it—it's really hard to describe my father. But ... it’s ... his calm disposition… he also had a certain hardness about him, but he had ... in fact, his kindness ... counterbalanced this hardness, and that’s how we remember him. Those who knew him retain that image of my father as someone who was very kind, someone who never complained. I think his father had been unfairly imprisoned for many years, but he never spoke of that. He had left ... well, he kept it all inside and he lived with these feelings, but without letting them affect the family. Thinking about it today, I wish he shared with us a little bit more of what he felt inside, but he had decided to keep it all within.",Interviewee,Tension
And what did your parents do for a living?,Interviewer,-
"... my father was a tailor, he was one of the first tailors in the region where he was born, in Kibuye, Gishyita, which he left to settle in Gisenyi and continued working as a tailor there, well, that’s what he continued doing until 1994. And as for my mother, she did many things. At one point we had a bar—actually, we had a bar at different times—and she was taking care of it. And shortly before 1994, she ... she was selling things, food, at the market.",Interviewee,Tension
"So what I understand is that your dad was often not at home, he had his job and your mom too. ... If you look back, how did they manage to contribute…, to reconcile the work they were doing outside the home and the education of the children?",Interviewer,-
"... the children also participated, so I think the work was ... shared. So, when my mother got up at five-thirty, sometimes it was because she had to get—how do you say that in French?—because the bar was also serving urwagwa, Mutzig and Primus ...",Interviewee,Tension
Banana beer.,Interviewer,-
"Yes, banana beer. She had to go get it very early in the morning.",Interviewee,No Tension
So she was buying it elsewhere?,Interviewer,-
"Yes, the expression we use is “going kurangura” ... So she would get up very early in the morning, around five-thirty, and when I got up, she would tell me, “Before going to school you have to buy ... food for lunch.” So I would wake up around six o'clock and I would go buy ... whatever we were going to eat at noon. And after that I would go to school. Upon her return, she would make lunch before going to the bar.",Interviewee,No Tension
To her work.,Interviewer,-
"So when I came home in the evening, I would take care of the rest for [inaudible]",Interviewee,No Tension
"When you think about it, between your mom and dad, was there one who was more involved in the children’s education in the home? Or was it equally shared?",Interviewer,-
"... What they were both teaching us, I think it was equal, but for the most part, in terms of household work, it was my mother and me.",Interviewee,Tension
"We are talking about your parents, I didn’t even ask about sisters, brothers—how many were you at home?",Interviewer,-
"... at the time, in 1994, well, when I returned to the house ... after living with my grandmother ... we were ... five. Later, my mother, well, my parents, had two more children so we were seven, but one of my younger sisters died just before the genocide. For us, the children, luck was on our side and we ... survived. The six of us survived. But my father had another marriage before ...",Interviewee,Tension
Before marrying your mom?,Interviewer,-
"Yes. So from that marriage, he had three children: two twin sisters who died in 1994 and their mother too, and another sister who survived. So with this sister, and with her brother on her mother's side, we found each other afterwards—it’s like being a family of eight.",Interviewee,No Tension
How many boys? How many girls?,Interviewer,-
Three girls and five boys. [laughs],Interviewee,No Tension
"[Inaudible] I would like to go back again to the education of girls and boys. ... When you look back, do you think all the children were educated in the same way? Were you given different tasks? Different instructions? Or was it the same for boys and girls? Or was one parent teaching the girls and the other the boys?",Interviewer,-
"... I think that Rwandan culture at the time ... favoured…—not only through education, but also through social discourse—it's as if the boy child was more important than the girl child. [laughs] I remember, I was angered by this. But that’s over now. When I was born—so my paternal grandmother, actually, my paternal grandparents had five boys, so they didn’t have any girls. My father was their eldest son, and until I was born, he only had girls. [laughs] So when I was born—I was the first daughter of his second marriage—so my grandmother said, “Oh, it’s a girl again!” [laughs] And this made me angry. My mother had not picked up on that, but I did, and it made me angry a little bit. In our family too, as the older sibling and as a girl, I had more on my hands than my younger brother. For example, he could just go get water, but I was expected to do the rest ... and so there was disparity, but there wasn’t a ...—how can I say it—... it went without saying: you are a girl and so you do the housework. ... that's how I saw things and then ... if my brother went out to play ... that’s okay, he can go play, he can go for a swim, I couldn’t go swimming ... [laughs] I had to be ...",Interviewee,Tension
A girl in the house.,Interviewer,-
Yes.,Interviewee,No Tension
"And now, from the position of an adult, do you try to understand that? Is it still the same? How do you see this now, from an adult’s perspective?",Interviewer,-
"It’s not only an adult's perspective, but also an outlook on Rwandan society from the outside. ... What I appreciate here, I think, is that we try to [laughs] treat both boys and girls in the same way. I don’t know if that’s something that has changed in Rwanda, but they’re making an effort to promote equality. I don’t know how things are in people’s homes, but at least in the social discourse we try to support girls as well, and in my view, this attitude produced through social discourse can also change things within families. I don’t know where we are at on this issue, but I think that if I had children I would try to have a more or less balanced approach, even though a boy can do things that a girl can’t necessarily do. But I think it’s a question of encouraging ... the child’s abilities and helping the child discover what it is that they want to do.",Interviewee,Tension
So you find that when you were growing up girls had more to do than boys?,Interviewer,-
"... Well, yes, in the city where I lived. Maybe that wasn’t the case in the countryside, I don’t know. I think that women, girls would not be, for example … making bricks to build houses, so that was work for boys, but I'm talking about ... the way things were when I was 15. I think girls had more to do, but elsewhere maybe it was the boys who…, so I ...",Interviewee,Tension
Who were doing other things too.,Interviewer,-
"But let's say, for example, beyond my personal experience, when I was interviewing people in Rwanda, there was a girl who told me, “My mother said that boys can go study, but not me, because I am a girl.” That's not my experience, but ...",Interviewee,No Tension
Someone else’s,Interviewer,-
"Someone else’s, but …",Interviewee,No Tension
"But of the six of you at home, did you all go to school?",Interviewer,-
Yes.,Interviewee,No Tension
"Did they continue, were they able to find work or are they still in school?",Interviewer,-
"... One graduated from university and works at the Bank of Kigali. Another works for a private company and the others are in school. And even before, in terms of education, our parents ... this was true for all children; so my mother urged me to study in the same way she urged my brother, so there wasn’t really any imbalance there. It was more ... in terms of housework, but in terms of education, all of us, we were all encouraged to go to school.",Interviewee,Tension
"I would like to talk about your grandparents, as you were telling me that you’ve lived part of your life at your grandmother’s house ... I don’t know if you’ve spent time with your grandparents on both sides, maternal and paternal. What memories do you have of your grandparents on both sides, if that’s the case, and if not, on the side that you remember most?",Interviewer,-
"... I personally don’t remember my paternal grandparents very much, but I do remember my maternal grandmother. When I went to live with her—I don’t know how old I was, I think two years old or less, I don’t know—I remember that time, she gave me breast milk from her own breast until I was grown. And ... I remember that my grandmother was a very sociable person. She had already lost her husband so I never knew my maternal grandfather, but two of her children—my uncle and my aunt—lived in the area and I grew up with my cousins, my uncle’s and my aunt’s children, and I remember that on weekends we travelled far to visit my grandmother’s ... brother. Also, she was a farmer, so we had small fields all around the house and that was what occupied my time and what sustained us, but also her children who were close to her.",Interviewee,Tension
How old were you when you went back to your parents’ house?,Interviewer,-
... Nine years old.,Interviewee,No Tension
