Content,Role,Predicted Label
Oh yes?!,Interviewer,-
"And she was a strong woman, principled too, who taught me many things because, as you know, in the Rwandan tradition, being the youngest in the family—and since my grandfather had died in the 1940s—my father sent me to live with Grandma. She used to call me her little husband!",Interviewee,Tension
"Yes, yes.",Interviewer,-
"You know how we say that in our culture. She influenced me a lot. She was the one that transmitted to me all the knowledge, all I needed to know about my family because I didn’t have the chance to meet my grandfather, it was she who talked to me about him. And my grandmother’s strength, it—I especially appreciated it in the difficult years 1959–1960, yes, because I remember, for example, that when they were burning the houses, when they were destroying our households, everyone was fleeing to Ngoma, in the parish there, but grandmother, she sat in front of her pen and she was saying: “Ndashaka kureba umwana w'imbwa uza kuntwikira inzu kandi arinjye wamubyaje.”",Interviewee,Tension
Yes.,Interviewer,-
"In French it means: “I’d like to see the little rascal who dares set my house on fire while it was me who delivered him at birth.” And she stayed there. And the people who were attacking the houses, when they saw her, they didn’t dare come near her house. But they were cowards and took advantage of the darkness of the night to burn her house, while she was inside. Fortunately, she had foreseen this and she had gone elsewhere, to sleep in someone else's house that night. I have great memories, great memories of my family… I don’t know if I want to talk about my brothers and sisters just yet…",Interviewee,Tension
"Yes, that was precisely my next question.",Interviewer,-
"Yes, because—well, I had three brothers and one sister and, unfortunately, they all died, of course—",Interviewee,No Tension
During the genocide?,Interviewer,-
"During the genocide. All of them, because in the family, of course, it is the eldest in the family who bears the burden because he’s the one who should lead the troops, so to speak. My father—he grew up with the missionaries, because he worked for them and he had this goal—he wanted at least one of the brothers to be a clergy—a religious sister and a priest. We had a brother who was clergy, we had a—",Interviewee,Tension
What was his name?,Interviewer,-
"His name was Brother Canisius Nduwumwe. He led choirs in several places, he studied in Nyamasheke, he led the Inkeramihigo choir, they sang many well-known songs. And he won choral competitions. And we also had a—not really my sister, but a cousin, my uncle's daughter, whose name was Sister Françoise Mukamparirwa and who was also killed during the genocide in Nyanza. She was intendant at the Christ-Roi secondary school, and, oddly enough, the person who had ordered this crime was a former classmate of mine, Father Hormisdas Nsengimana. I remember that in our school dormitory, his bed was—in Kansi, at Kansi’s Petit Séminaire—his bed was next to mine. And it was him who ordered the killing of my—of Sister Françoise, my cousin, and also of our former catechesis teacher, Father Mathieu Ngirumpatse, so, that’s to say… So I was supposed to be a priest because I studied at the seminary. It didn’t pan out, but I don’t regret it at all. My older brother Vincent—he’s the father of these two kids here—I have to say something about Vincent, because in the family, in any family, we can be brothers and sisters, but there is always this one person who is our hero. For me that was him… [big sigh]  It was him, we had a special connection, unique, and… [sigh] In 1973, when things started, when, I think, the second wave of refugees, or the third, or the fourth—we left together because we were kicked out of school at the same time; he was also in high school.",Interviewee,No Tension
Yes. You were in Butare?,Interviewer,-
"Yes, we were in Butare, but he was in Nyanza, I was—",Interviewee,No Tension
At the Groupe Scolaire high school?,Interviewer,-
Yes. I was at the Petit Séminaire—,Interviewee,No Tension
"At the Petit Séminaire, yes.",Interviewer,-
