Content,Role,Predicted Label
"I will first ask you to introduce yourself and tell us where you were born and, if you don’t mind, tell us your date of birth so that those who don’t know you and who will read this conversation can have a general idea of the person who is speaking.",Interviewer,-
"My name is Jeanne d'Arc Mukandahiro. I was born in the Shyorongi Commune, in Kanyinya sector, in the city of Kigali. I am the daughter of Canisius Kambanda and Bellancille Mukasine. I was born in 1958. I am married to Jean Bosco Iyakaremye and we have five children: three boys and two girls. We used to live in Nyarugenge, more precisely in Kigali, and we now live in Canada.",Interviewee,No Tension
"Before moving on to the topics directly related to your life, tell us about the region where you were born and about that time of your life. Did you have the chance to know your maternal and paternal grandparents?",Interviewer,-
"I didn’t know any of my grandparents. When I was born, they had already left this world. I was born into a family of six children and I was the fifth, but even my older siblings didn’t know them. My grandparents left us too early.",Interviewee,No Tension
"When you were old enough to understand, did you learn what their occupation was? How did they provide for their children and their families?",Interviewer,-
"My father studied at the Groupe Scolaire in Butare, at the School of Charity. He studied administration. When I was young, he worked as a secretary at the Ministry of Education. I don’t remember in what year he retired, but later he became self-employed.",Interviewee,No Tension
And your mother?,Interviewer,-
"My mother looked after the house, the children and the family in general. She didn’t have another job.",Interviewee,No Tension
"You are telling us that your mother was a housewife and that your father worked. They probably had to share the responsibilities for taking care of the children. Looking back, what do you remember about your upbringing? Was one of the parents more involved in that than the other? What can you tell us about how you were raised?",Interviewer,-
"Looking back, I find that the two of them complemented each other. They were both involved in our upbringing, and above all, it was done with a lot of love. It was also clear that their goal was for the kids to be raised well and to study because that was one of the legacies our parents cared about the most. They wanted all their children to be educated in order to be well prepared for the future.",Interviewee,Tension
"A question, out of curiosity: you told me that you had brothers and sisters. When you look back, do you find that you were all raised in the same way, the girls and the boys? Or do you find that, for example, Dad focused more on the boys’ upbringing or did your parents share the same responsibilities?",Interviewer,-
"I was one of the youngest siblings, we all did the same tasks especially during school vacations. Being younger, I only saw my older brothers and sisters during school vacations. They had their responsibilities around the house, but we often helped them. For example, planting trees—everyone wanted to do their part to plant the forest. Otherwise, we all shared the rest of the tasks. At home, boys and girls all did the same tasks.",Interviewee,No Tension
"Your parents are now gone, I suppose. When you think of them, what memories would you like to share with us? What are some of the similarities between you and your parents? What memories do you have of your parents and of the family?",Interviewer,-
"My family was very sociable, very loving towards others. Working was important too. One specific memory I have of many of my relatives is that they always had goals to achieve, always had a list of things to do. Even my parents were like that, they often talked about the projects they wanted to do in the coming year. Me too, I find that I often have projects, even though sometimes I can’t complete them.",Interviewee,Tension
And the other members of the family?,Interviewer,-
"As I was saying, one of my memories of the family is that each person talked about what they would like to do when they get older, how they would prepare for the future, how they wanted their children to grow up. I remember we were all talking about this. We thought that our children would all get together at the grandparents’ house, and that we would also take vacations, and we would all meet there too and that we would make plans for the future. But we didn’t get to do all that, because the genocide separated us.",Interviewee,No Tension
Are some of your relatives still alive?,Interviewer,-
There is one—my little sister and I are the only survivors.,Interviewee,No Tension
"You told me that your father had studied and that he worked. Can you give us an idea of ​​the situation in the region where you lived, tell us about the relationship between your parents and the neighbours and between the children in the neighbourhood. When you think about that time, what do you remember?",Interviewer,-
"I thought that the relations between the neighbours were very good, very loving. There was a feeling of an unspoken promise between people and we thought no one would betray others. Many people came to our house, many villagers came over because those were hard times to find a job in the villages, so the ones who were working were helping others. For example, some villagers did some paid work [around our house]. Because of that, there was a lot of coming and going in the house, but also because we had many friends among our neighbours. My father was fond of the children who were going to school, so if a child didn’t want to go to school, the parents would come to see my father and ask him to talk to the child about it. And my father would promise to talk to the child, and thanks to this good parent many people in my neighbourhood went to school and he even paid the school fees for them. Because of this, there was a great sense of connection with people in the neighbourhood and even with people from more remote areas.",Interviewee,No Tension
And did you feel comfortable around your neighbours and when you were visiting their houses?,Interviewer,-
"There really was no problem. We went to their houses and they came over to our house without any problems. We were their children’s godparents and many swore by my father’s name because he gave them cows. I told you that when I was growing up, my father was working as a secretary at the Ministry of Education, but before that he was deputy chief of the Bumbogo region, so he managed that region during a long period of time and he was well-known because he had given cows and land to the people of that area. That’s why I was very surprised to learn that he was killed by the people who at one time swore by his name.",Interviewee,No Tension
"If I understand correctly, you had good neighbours, you grew up in a good environment. Can you also tell us about your studies? Did you study there? And can you tell us what memories do you have of your fellow students and your teachers?",Interviewer,-
"The school was a bit farther from the house, about a two-hour walk.",Interviewee,Tension
Your primary school?,Interviewer,-
"Yes, primary school. We did first to third grade in the Kanyinya sector—that was the name of that region at the time. We would run to school because we liked to run and we didn’t have a car. It took about an hour of walking to get there. I was very young when I was studying there and I don’t remember much of that time. But I remember my friends with whom we often played together. There was only one teacher who was teaching first grade in the morning and second grade in the afternoon. He was a good teacher and we liked him very much. We were smart and we didn’t have any problems at school.",Interviewee,No Tension
"And then, after third grade…",Interviewer,-
"We left the Kanyinya sector and we started third or fourth grade, I don’t remember very well. But I remember that in fourth grade we were studying at a place that was very far away—that’s the place I was telling you about and that it took us two and a half hours to get there. It was in Shyorongi. We started school in the morning and finished in the evening, I think we started at half-past eight and finished at four, so I always got home at seven o'clock.",Interviewee,Tension
In the evening?,Interviewer,-
"Yes. We had to bring lunch and eat it at noon, and we walked home in the evening. In fact, we felt like there was nothing else to do. You absolutely had to go to school and be among the best. The walk to and from the school was very tiring. There were good teachers from grade one to grade six and they were of all ages. All the students were treated the same way, no child was told that he was this or that. We simply felt like students and we felt like ourselves, the way you are Monique and I am myself. However, during certain classes, they would ask who among us were Tutsi and those students had to stand up, who were Hutu and they had to stand up, who were Twa and they had to stand up. There were two Twa students. We felt embarrassed and inferior when they were asking the Tutsis to stand up and we were only three or four people standing, but when it was Hutus’ turn, everyone stood up. Because of that, we always felt inferior and that’s one of the things I can’t forget.",Interviewee,No Tension
How did a child in fourth or fifth grade know what his ethnicity is?,Interviewer,-
"You learned it from your parents, because we talked all the time and they would raise the question of Hutus and Tutsis. There was no way of not knowing, because on our way to school we would pass—we would see Twa and we thought they were funny. So we knew that there were the ethnic groups of the Twas, the Hutus and the Tutsis. That’s how I knew, I think, but I became more aware of it in the classroom, when I developed an inferiority complex when I had to stand up and when I saw that the Twa student was even more embarrassed than I was to be the only one standing while the others were making faces at him.",Interviewee,Tension
"There weren’t many Twa students, and the Tutsis were even fewer—they were only a few…",Interviewer,-
"The Twa were less numerous than the Tutsis. There was about one Twa student, about three Tutsis and about forty Hutus. So you felt that… When they asked who the Tutsis were, you could see that your classmates were staring at you—the same classmates we were always together with.",Interviewee,No Tension
Did you find that these teachers focused on your studies as much as the others? Did you find that you were all treated equally?,Interviewer,-
"The teachers treated us all equally, especially since the teachers at these centres were all Tutsis, at least the ones I know of, and I know this because they were killed during the genocide. They have left this world; for some, their whole families were exterminated. The majority were Tutsi, maybe their supervisors were Hutu.",Interviewee,Tension
"And after six years of studies, did you have the chance to continue…",Interviewer,-
"Yes, I had the chance to continue my studies; I went to the Lycée Notre-Dame in Kigali. In 1973, they chased the Tutsis out of school, but after that we could go back, and so I was able to finish high school there.",Interviewee,No Tension
Could you already choose a field of specialization? What was the process like of choosing a school program? How would you explain this process to someone who has never lived in Rwanda?,Interviewer,-
"I don’t know what the others did, but in my case my parents helped me, especially my father. I was interested in social work—in fact I continued my studies in this field after I came here. My father said that it was a good choice for my future and that people who study social work can go to law school; he said it was a good direction. So that’s how he helped me, but I don’t know about the others.",Interviewee,Tension
"So, you had the chance to apply for this program, you got in, you studied and you graduated?",Interviewer,-
"Yes, I was admitted and I finished it.",Interviewee,No Tension
And you found a job in this field in Rwanda?,Interviewer,-
"No, I didn’t work in this field. I did other things for a while. I was self-employed at first. In fact, after my studies, I got married right away and I had a business. I didn’t want to work for others.",Interviewee,No Tension
"I’m not going to ask you questions about job search, then. From what I understand, you didn’t have to look for a job.",Interviewer,-
"I didn’t spend time on that. I was rather looking for ways to become self-employed, especially because finding a job…—sometimes it was very difficult. Many doors were closed, so we preferred to try something else.",Interviewee,Tension
"The question I was going to ask you was whether you chose to be self-employed because the government and businesses were not paying well enough or because it wasn’t the kind of job you wanted to do? In this case, what would motivate someone who has just graduated to decide to work on their own rather than continue in their field of study?",Interviewer,-
"I preferred to be self-employed so that I can have the freedom to be present in my children’s lives. I didn’t want to depend on others, but I wanted to do something that generates income and that allows me to achieve my goals.",Interviewee,No Tension
"After that, I suppose you got married, you had children. Just as I asked you which one of your parents took care of your upbringing, can you give us an idea of how you managed that with your own children, especially since both you and your husband worked?",Interviewer,-
"It was difficult, but it was a problem we both had to solve. Often, while we were at work, we would catch ourselves wondering how the children were doing, especially since there were no phones at the time to call and ask. At the end of the day, we would very quickly wrap up and go home and if we were lucky the children would be there and doing fine. But at other times, we would find one of them with a fever, and for me that was difficult. All the time I had, I dedicated to them, and I imposed certain principles on myself. For example, I didn’t make any plans right after work, I went home first and made sure that the children had come home from school, that they had eaten and that they were doing fine. It was much more difficult to juggle work and raising children when they were too young to go to kindergarten, especially since we couldn’t be completely sure that the people who were looking after them were treating them exactly as we wished, but we were reassuring each other. At that time, we didn’t yet notice the wickedness in people; people hadn’t yet lost their humanity.",Interviewee,No Tension
You said you have five children?,Interviewer,-
"Yes, I have five children.",Interviewee,No Tension
"I suppose they were all born in Kigali and that you raised them while you were working. Going back to the question of how the children were raised, would you say that the girls and the boys were brought up in the same way, as much by you as by their father?",Interviewer,-
