Content,Role,Predicted Label
"Hello, Radegonde Ndejuru!",Interviewer,-
Hello.,Interviewee,No Tension
"First of all, thank you for taking the time to share your life story with us. Before we begin, I would like to ask you to introduce yourself with a few words, after which we will begin the interview.",Interviewer,-
"Okay, my name is Radegonde Ndejuru, I am Rwandan, I currently work in Rwanda as the Executive Director of an organization called Imbuto Foundation.",Interviewee,No Tension
"Okay, very good. Now, we will try to reach your most distant memories, and I’m going to ask if you knew your grandparents?",Interviewer,-
"I knew…I knew well my maternal grandmother, I only remember her. I think…I’ve seen my grandfather, but I don’t really remember him.",Interviewee,Tension
"Okay, your maternal grandmother: what are your memories of her?",Interviewer,-
"She spoiled us a lot, during school vacations we went to her house, we drank milk there…yes, she spoiled us, that’s what I remember. And then, after 1959 her house was burned down and she was forced to flee. She came to live with us…so, until I left Rwanda in 1973, she lived with us. She was a dynamic person, she protected us, and she continued spoiling us rotten.",Interviewee,No Tension
What was her relationship with your parents? You all lived together?,Interviewer,-
"We lived together, but my father…she didn’t live with us for long because this was during those troubled times, between 1959 and the death of my father. She came to live in my father’s house in Nyanza, but at first she was there all by herself, she lived with her daughter, while my father and my mother…my father worked for the government and they didn’t live at home all the time…so I don’t really remember her being there while my dad was also there, but I remember well her being there after my father was killed and when my mother came back. So we always lived with my mother, my grandmother, my aunt…I saw them when I went back home to visit the family. They had very good relations, they worked together, they were very respectful of each other, they lived in the same room and we sometimes had dinner in that room. They had very good relations, very cordial, very respectful.",Interviewee,Tension
So tell us about your parents. What are your memories of your parents?,Interviewer,-
"Oh, my. That brings so many emotions since they are both dead. What do I remember? Memories from when I was little… First of all, when I talk about my father…my father died…I was 11-years-old and I think the best gift in my life was to be reassured that I was loved completely. You know, in Rwandan culture, no one says “I love you,” no one comes to you and…well, that’s not how it is said. But my father’s love was unconditional, everyone knew that. And I think it has been very helpful in my life, the feeling that you matter for someone. And so my father was…I was born…I was a girl born after four boys, I had another older sister but she had died, and so for my father it was…I grew up thinking that my name was My Daughter because my father always called me “my daughter” and my father’s friends also called me “my daughter.”  So it really was…I felt I mattered for someone and I knew he was always going to protect me, no one could harm me, no one could…I was spoiled and loved, and I knew it, I was aware of it, everybody knew it, all the people around us. So, the memory I keep…I remember how different my father was with the boys and with me: he was very strict with the boys, very stern, while with me he was very sweet. So I felt super protected and he really was someone who protected me, and I also felt his unconditional love. And…those are the memories I keep. When he died, I think…I didn’t accept it, I didn’t understand it, and I didn’t cry. I’d say that, for me, the period of mourning for my father was when I was preparing for my wedding and that’s when I cried and cried. People talked to me about…when Pierre and I went to see a priest in preparation for the wedding and he asked me, “Are your parents still alive?” I said, “Yes, yes, my mother is,” and he said, “What about your father? What happened to your father?” And I couldn’t tell him. I cried during the whole meeting and Pierre couldn’t understand because I usually told people how my father had died, how he had been killed, but it was a story that…but at that moment, right before the marriage, when you are about to commit to someone…anyway, I don’t know…at that moment when I was grieving his loss, when I was crying for my father, I really felt his absence. So that’s it about my father. My mother…she’s a woman I admire a great deal for how she raised us. She was widowed very young, she wasn’t 40 yet, she had six children: four big boys, me, I was 11, and my sister who was one or two years old—I don’t remember exactly. And she raised us, she educated us, she continued giving us everything we had while my father was alive, education. For sure, the older boys were helping her, but she was a very, very, very disciplined person, you know, she was very much like “that’s how it must be done,” so you had to follow the rules. She was very strict, very strict, especially with me, I thought. What she was thinking, I believe, was: “She’s a girl, she must be well-educated so that she may find a good husband”—or I don’t know. I thought she was very, very strict with me. And when she…I always remember what she told us—in Kinyarwanda we say “the children of a single woman, abana b’umugore,” which means that “you are lacking discipline, you are lacking the presence of a father.” I remember very well her saying, “I don’t want people to think that you are the children of a single mother.” So she was both a dad and a mom. And even though when I was young I thought she was very strict, I am…I was very proud of her and I had the chance to tell her that before she died— —she was in Montreal—that had she not been so hard on us, maybe we wouldn’t have…we wouldn’t be where we are now, we wouldn’t have worked as hard as we did. So that’s it. She always told me, “You know, you’ll have your own children one day and we’ll see how you’ll deal with it.” And I did understand that with children…having children is not easy. I understood it, even if I thought she was strict with us when I was young. But I think that I have taken many qualities from her, I think I am strict too. That’s it. We don’t necessarily like to see ourselves…when I think about how I thought she was strict and I didn’t like that, and now I say to myself, “Oops, I am strict as well and my kids probably think that way about me too.” Sometimes it’s like…well, anyways. So those are my memories of them: they were people who worked a lot, who left us too soon, that’s all.",Interviewee,Tension
You mentioned your brothers and sisters. Tell me about your brothers and sisters and the relationship you have with each of them?,Interviewer,-
