Content,Role,Predicted Label
"On behalf of the Association and Concordia University, we thank you for agreeing to participate in this research.",Interviewer,-
It’s my pleasure.,Interviewee,No Tension
"I think we can begin now. First, I would like to make a few general comments. Perhaps some of the questions won’t concern you directly. If this is the case, you can answer briefly and we can move on to the next questions. So, if the question doesn’t apply, you can say, for example, “Okay, this question doesn’t apply to me.” And then [inaudible: I will read?] another question. We will go faster this way. As you understand, this interview will be made public, since you have agreed to participate in it, and so you too can [inaudible: consult it?] afterwards and the same is true for future generations. So we will begin. First, I would like to ask you to tell me about yourself and to describe your family. So tell me about yourself: your name, your age, ethnicity, religion, marital status, and tell me about the members of your extended or close family.",Interviewer,-
"Well, I am Frédéric Mugwaneza, I am 32 years old, I am of Rwandan origin and I am Tutsi. My father was Jean-[Hus?] Mugwaneza, my mother—Annie Rolland. I have a brother, a big brother, and a big sister, Samuel Mugwaneza and Catherine Mugwaneza. I’m married to Sylvie Gasana and we have a little girl named Sarah.",Interviewee,Tension
Okay. Let’s start by talking about your grandparents. Do you remember what they did for a living?,Interviewer,-
"Yes, I remember well—I have fond memories of my grandparents on my father’s as well as on my mother’s side, because I spent quite a bit of time with them. I liked watching them, they fascinated me. I have always been fascinated by elderly people because they carry historical baggage and they have so much to tell. I remember better my—let’s say that I was closer to my paternal grandfather, his name was Eustache Kajuga. He was a pastor but, most of all, he was a decent man. Our family learned a lot from him. Whenever there were tensions or small issues in the family, he would calm things down. He would say comforting words to me and would explain to us how things should be done.",Interviewee,Tension
"What influence, do you think, did your grandfather have on you?",Interviewer,-
"He has influenced me, for sure. He left me many memories of family reunions—he loved family reunions, he really liked us being together and that’s something I have inherited from him. I enjoy being with my family, I enjoy family gatherings. So, I remember this grandfather well. I also remember my maternal grandfather, he was Belgian, his name was Jules Rolland. My memories of him are more about the games we played together. He showed me many things: we would go for walks, he was pointing out to me things in nature, little things—small examples that I liked very much.",Interviewee,Tension
And this was happening when you went to Belgium during the school holidays or when he came to visit you in Rwanda?,Interviewer,-
"When I went to Belgium for the school holidays. I was fortunate to have two grandfathers who were very different from each other, who lived in two different worlds and who taught me different values​, from both Belgium and Rwanda.",Interviewee,No Tension
And what about your grandmothers?,Interviewer,-
"My grandmothers haven’t faded from memory either. I have a paternal grandmother who is still alive, her name is Marion. Like my paternal grandfather, the family gatherings were for her—she was always there, it was something important to her. She was also the one who helped my mother integrate—my mother was Belgian, and my grandmother was the one who helped her integrate into the family. It wasn’t easy for my mother when she first arrived, because she came from a different background, she was, as they say, a muzungu [white] and, well, it wasn’t easy. With time, the women’s help—it was the women who helped her integrate into the family and they opened the doors to her. I am thankful to my grandmother for that: for facilitating that, for helping my mother integrate and for considering her as one of the children in the family.",Interviewee,Tension
Does your paternal grandmother live in Rwanda or outside of Rwanda?,Interviewer,-
"My maternal [paternal] grandmother lives in Rwanda. But she likes to go back to—well, she lives in Kigali, because the family and her children are there—but she prefers going back to the countryside, where she has always lived.",Interviewee,No Tension
"And when you think about your grandparents and your parents, as a child, what kind of relationships did you observe between them, between your parents and their parents? So, what kind of interactions could you see between your father, your mother and their parents? What are your memories of that?",Interviewer,-
"My father was very respectful of his father, of my grandfather. In a way, my grandfather was viewed as a teacher, the one we would turn to when we needed an explanation, when we had a problem. Dad always viewed Grandpa as the head of the extended family. And it wasn’t based on fear, we weren’t afraid of our grandfather—he really was very nice—their relationship was quite—it was very friendly. Their connection—their discussions—my grandfather really was—he was at the centre of the family. On my mother’s side—because of the distance between them—she had decided to live in Rwanda—it was at first a little tense, well, a lot of tension, in fact, due to a lack of understanding: why did she move so far away? why did she leave? why did she go to live in Africa? The grandparents didn’t really understand my mother’s choice. So their relations were strained, but over time—they even came to visit us in Rwanda. That helped calm down the tension a little and things were going very well after that. My mother wrote to them all the time, I remember the letters in the mail, and my grandparents wrote back, they sent small parcels, biscuits, Belgian chocolates, which didn’t last for more than two days. And those are the memories I keep: of my grandparents in Belgium, who lived far away, who sent us little messages as expressions of affection, letters, small gifts, and then in Rwanda it was the lessons learned within the family, the discussions, the sharing of ideas. What I also remember, when I think of my grandparents in Rwanda, what first comes to mind is the countryside. They lived—my grandmother still lives there, in Gahini—every time we went there, I rediscovered the cows, the lake, the walks in the forest. I would play with the kids there, that’s where I learned Kinyarwanda. Life was simple there: family, nature and, of course, the Sunday Mass.",Interviewee,Tension
"And then there was you, a little muzungu, who was accepted by the children of the hill.",Interviewer,-
"Oh, yes, for sure, as soon as I would show up, they would say: “Umuzungu, umuzungu…” But as soon as we started talking, they could see that I was speaking Kinyarwanda and, well, the differences between us were quickly forgotten. And I really enjoyed walking around and playing outside with the kids on the hill. And—",Interviewee,Tension
Did your mother learn—[inaudible: the basics?] of Kinyarwanda?,Interviewer,-
"My mother, after 25 years in Rwanda, spoke perfect Kinyarwanda. She could communicate with anyone, she spoke Kinyarwanda very well, she was really well integrated, that’s precisely—the fact that she was engaged in the life of the family. She learned the language, she became a true Rwandan.",Interviewee,Tension
[inaudible],Interviewer,-
That’s for sure.,Interviewee,No Tension
"I don’t mean to pry, but do you know what her ethnic background was? Was she Walloon or Flemish?",Interviewer,-
She was Walloon.,Interviewee,No Tension
So French was her mother tongue?,Interviewer,-
"Yes, her mother tongue was French.",Interviewee,No Tension
"I would now like to ask you a question about how your parents expressed emotions—emotions such as affection, joy, anger, fear—what in Kinyarwanda we call igitsure: when parents want to instill a sense of fear in their children, not to terrorize them, but to elicit respect, that’s called igitsure. How did your parents show that? I would like to ask you to tell me first about one of your parents—either your mother or your father, it’s your choice. How did they express affection, from what you remember from your childhood?",Interviewer,-
"Of course, they raised me based on their own experience. No doubt about that. My mother was educated—and I think my father too—in the old-fashioned ways where the father was the authoritative figure. And they tried to raise us in the same way—myself, my brother and my sister. But I didn’t fear my mother, we were close. And I was an agitated child; like everyone else, I was doing stupid things. When I did something really stupid, my mother would hit me sometimes, as a kind of punishment. She was trying to explain to me how I should behave, she had the mind of a psychologist. She would kneel down next to me and that’s how she talked to me—she had a more flexible approach to teach me to stop doing stupid things. My mother preferred talking to hitting. With Dad it was—he was quite flexible too, but his was a more African approach. We were slapped when we did stupid things, without much discussions, without much dialogue—there was some distance, [he was] a bit removed emotionally. It was similar to how all Rwandan dads are with their children: they remain at a distance, avoid being too close, too friendly with their children. I wasn’t too upset about it since I could see that it was like that in all other families. But it was also a way of fearing him, since we didn’t know how he would react; we were trying to guess his state of mind: is he going to be mad? is he in an agreeable mood?—so there was always this doubt. And then there was the way he looked at us. His gaze expressed a lot: he liked to frown, as if to say to me: “I’m not going to say much more, you understood me.” And I understood what—the message he wanted to convey.",Interviewee,Tension
Igitsure?,Interviewer,-
"That’s it. It was in his attitude. But he rarely raised his hand to hit me except, of course, when our actions were stupid and unacceptable and then—well, I sought protection from my mother. In addition, I was the youngest—as soon as Dad raised his hand to hit me or when he scolded me or gave me a look, I ran to my mother. I feared my father, that’s for sure.",Interviewee,No Tension
"A quick parenthesis: Do you see the influence of your mother or your father in your own way of being a parent? [inaudible: you are a father, right?]",Interviewer,-
"Yes, I have a little girl, she is still very young, so I don’t know. [laughter] My parenting skills haven’t been put to the test yet.",Interviewee,Tension
How old is she?,Interviewer,-
"She is one and a half. I think I will take some features from them both. I’m trying to have a close relationship with my child, to be able to talk to her, understand her concerns, talk to her, be close, but it’s also necessary to be firm sometimes.",Interviewee,Tension
Tough?,Interviewer,-
"To be tough, yes. I’ll take features from both of them, for sure, from both Mom and Dad—because I turned out well. I don’t know if I was someone who—I was an agitated child, difficult to control. I was running everywhere, I broke things around me, and I think that they disciplined me well.",Interviewee,Tension
"Very interesting. Now, when a decision had to me made at home, was it your father or your mother who made the decisions, in general?",Interviewer,-
It depended on the decision.,Interviewee,No Tension
"Yes… From what you remember—as you say, you remember there was an exchange, a discussion—and then it was decided. Generally speaking, how were decisions made?",Interviewer,-
"Decisions that affected—that impacted life at home, for example, I think it was my mother who made those decisions at home. Now, well, all that was—the rest—[sigh]—I would say, those were Dad’s decisions—whether it was going on a trip, for example, or whether we had to go somewhere, it was Dad who decided when, because his schedule was—he had to look at his availabilities, because he was working a lot at the time. So it was more my Dad who was deciding to—when we would leave, where we would go. And at home, it was my mom who ran her house, her employees, she made sure that the whole house was clean. She hired the people who worked at home, she trained them, she taught them to cook, Dad never participated in this. Also, when there were difficulties in the family, it was often Mom who would pinpoint the problem and would ask Dad to do something about it. Sometimes—I’ll use the example of an uncle who was going to have his fifth child, and I remember that Mom went to see his wife, my aunt, she went to see her and she told her, “You’re going to have your fifth child, I think it should be your last one.” My mom defended women’s values, she fought for the emancipation of Rwandan women and when she saw a woman who had no say, who unwillingly had [children], many children and, well, when it looked like the husband had decided to have a child and the wife had no say in the matter—I remember that she had gone to see my aunt and tell her that she must not remain quiet and that if she didn’t want any more children, she shouldn’t have any because she isn’t a machine for babies. I remember hearing that discussion and I found it quite interesting.",Interviewee,Tension
Do you remember how old you were when you overheard that conversation between your mother and your aunt?,Interviewer,-
"I must have been 11 years old, yes, 10–11. Yes, that’s it. So, Mom took care of the house and of the family. She was the one who would nail the problem on the head and later she would tell Dad, “Listen, you have to address that. Can you talk to your brother and see—” And Dad was involved more in all matters outside of the house—travel, the purchase of materials. And school—in terms of homework, Dad was never involved in our homework. He didn’t know anything about what was going on at school. He was interested in the results. Our report cards had to be green; if he saw the colour red somewhere, it meant a failure and that’s when there were issues, questions: Why? We could tell him all we wanted that: “But the class average is… I’m in the average.” He would say, “No, no, that’s not how it should be. I’m seeing things written in red here and that means failure.” While my mom would go more in depth, she would try to understand [why].",Interviewee,No Tension
"When you had good grades written in green, did your dad reward you for that or did he only intervene when he saw red writing in the report cards?",Interviewer,-
"He intervened only when he saw the red writing. I remember once, I was—I almost repeated a grade. I had to pass the second round of exams. I was in third year of secondary school going into fourth and I wrote the second round of exams, and I was waiting for the results. And Mom—I was so afraid to look at the results at school that I asked my mom, “Can you go instead of me?”—they were posted at the school, at the Belgian school—“Can you go see for me? Because if I go and Dad—if I repeat a year, I won’t be able to come back home, Dad will—I’m finished!” So Mom went to see the results and then she called me at home. I answered the phone and she said, “Congratulations! I think you’re going into fourth year of secondary school.” I was so happy, I ran to the room where my dad was, I ran to him and I said, “Dad, I succeeded, I’m going into fourth year!” His reaction was not one of joy, he gave me a kick in the behind. [laughter] And I—he had been so stressed out I would repeat a year, that he just reacted spontaneously like that. And he said to me, “You see, you can do it.”",Interviewee,No Tension
"And as the saying goes, “Tough love.”",Interviewer,-
"Oh yeah, that’s it. That’s really how it was. Yes.",Interviewee,No Tension
Do you remember any hobbies? What kind of hobbies did your parents have? What did they do in their spare time? Did they do any activities after work? What kind of things did they like to do?,Interviewer,-
"[takes off his glasses and starts to cry, wiping his eyes] [pause]",Interviewee,No Tension
"I was asking you what hobbies your parents had. I don’t know if—feel free, if you want to make a connection with the memory that emerged in your mind and what it—or we can go directly to the question of—",Interviewer,-
"So, my parents’ hobbies?",Interviewee,No Tension
Yes.,Interviewer,-
That we did as a family or?,Interviewee,No Tension
—that you did as a family or that your parents did together.,Interviewer,-
"Ok, as a hobby, we liked to visit my grandparents on the hill, we spent the afternoon at the lake—",Interviewee,No Tension
At Lake Muhazi?,Interviewer,-
"Lake Muhazi. And we would walk around the lake, we would take canoes and paddle on the lake. That’s the most significant memory of my childhood: spending time at the lake, with my family, at my grandparents’ house, beautiful landscapes, the sunset [inaudible: and all that?]",Interviewee,Tension
Did your grandparents’ property have a direct access to the lake?,Interviewer,-
"Yes, my grandparents’ house was built slightly up the hill, higher up a little bit, it was surrounded by fields, there was a cow pen, and a small descending path. We would walk to the lake and stay there for a while, we had picnics there, we had meals together as a family, and then we would go out on the lake. Sometimes, I went out with the bashumba [cowherders]. I walked with them and their cows—I liked the cows—and I walked along with my little stick. These are for me beautiful memories. When I think about my childhood, I think how extraordinary it was. Innocence, I lived in complete innocence. It was beautiful.",Interviewee,Tension
"When you think about your parents, do you think either one of them has influenced you, in one way or another, in terms of how you do things, your tastes, your behaviours? Do you see any influence from your parents?",Interviewer,-
"Yeah. I—on the level of—in terms of how sensitive I am, I’m much closer to my mother, and in terms of my attitude, the way I want to appear to others, I try to be like Dad. I try to—Dad was really loved by everyone. To this day, when I meet people who knew him, they speak well of him. I’ve never met anyone who has said to me, “Your dad did this or that to me…” Or, I don’t know…, “I didn’t appreciate…” That’s something that I feel deep down—to do good, to be a good person. He was the one who showed me how to be like that, how to treat others. And my mother taught me how to be sensible, how to talk to people in a certain way, to be interested in others. She taught me empathy, to put myself in other people’s shoes, to see their problems from their perspective. My mother was such a person. Like a psychologist, she talked to people, discussed their problems with them, if they had problems and if they wanted to talk about it… Yeah, that’s it.",Interviewee,Tension
"And [she was able] to anticipate problems? As in the example, that you observed with your aunt, whom she went to see…",Interviewer,-
"Yeah, that’s right. She was able to see problems that were not readily visible. She was sensitive in a way that I try to be too. I try to be interested when I see someone who has a problem, I ask myself—I try to see if I can help them. And Dad was more like the man everyone likes, who makes jokes, who puts people at ease. That’s it.",Interviewee,Tension
Did your parents—or your grandparents—talk to you about their childhoods? About the memories they had from when they were little? Do you remember anything that either your mother or your father told you about the time they were children? Do you remember anything like that?,Interviewer,-
"[inaudible] my grandparents didn’t talk much about their childhoods. I don’t remember my grandparents telling me—those who were in Rwanda, in any case—telling me about their childhoods. From my grandparents in Belgium, the only memory I have is that when he was young my grandfather had—he was displaced during the World War, he was detained in the Nazi camps when he went to war. He often talked about that, he often told that story. So it’s really—that’s my grandfather from Belgium, that’s the memory I have of him when he was a child—well, not a child but more like an adolescent. He often talked about the concentration camps and how he survived, about the war—that had affected him deeply. From my Rwandan grandfather, I don’t have—well, I only heard some stories afterwards, and he wasn’t the one telling them. I know he was adopted, no one knew his father, no one knew his parents, he was adopted and he grew up in a family. I learned these thigs a little bit later. But neither him nor my grandmother told me anything about their childhoods. As for my parents, well, there were many stories on the side of my mother, because there were photographs from when she was little and she would explain: “Oh, here, we are at such and such a place in Belgium…” She kept many pictures of her childhood, adolescence, she had kept all those pictures and that’s how I learned about her growing up and about her journey.",Interviewee,No Tension
"And when you went to Belgium for the school holidays [inaudible: did she?] take you to visit the places where she grew up? Did she talk to you about her childhood memories when she was showing you, for example, the school she went to, the stores she visited?",Interviewer,-
"Yes, yes, she did…",Interviewee,No Tension
She did that?,Interviewer,-
"Yes, when we went past—she spent her whole childhood in the same village, and also in a nearby village, the two are close enough, and that’s where my grandparents, her parents, lived. So sometimes we would go there and we would walk around the small village centre, and she showed me where they used to buy bread, she showed me her old school and the nursing school where she studied; sometimes—often—she would show me other places… That’s it.",Interviewee,No Tension
And your father?,Interviewer,-
"Dad—he never really directly talked to me about his childhood; it was more by overhearing conversations he had with his brothers that I learned some details, but we never sat down together or with the family to talk about his childhood. I just know that he—well, he grew up with my grandparents in the village. He went to school in the village and he often reminded me—he often told me that he didn’t have the chance to study, that he had succeeded thanks to his determination and that determination is always needed in life because he didn’t have the chance to study, but by his strength of resolve—to find work, to move, to move far away in order to look for work, he has always been very—he always wanted—he always was—as if he had a goal in life, a real goal, and he wanted to achieve it.",Interviewee,No Tension
"And how did your neighbours, friends, relatives, perceive your parents? What were they saying about your parents?",Interviewer,-
"They were saying—they only had good things to say about my parents, as I was saying earlier, I—everyone I met spoke highly of my parents, whether they were speaking about my dad or my mom. My dad was the first one to help his neighbour finish his roof, buy roof tiles or metal sheets, and the first one to give him money to complete the construction of his house. My dad helped out many families with the education of their children, he paid their tuition fees. Mom played the role of counselor, a bosom friend of many women in the neighbourhood. She had a friend who lived—well, we lived in Kicukiro and there was, I remember, a very, very poor woman there. I remember her because every time I saw her coming, I would say to my mother, “She’s coming to ask you for money again, she’s coming to beg, and her son, who is an alcoholic, will drink all this money!” And my mother kept telling me, “Listen, always help those in need.” That woman was poor, she didn’t have much to eat and she came to our house, but instead of giving her money, my mom gave her food—fruits—and she said to me, “You see? I’m not giving her money, I’m giving her sustenance. It’s not the same thing.” So, really, in our neighbourhood my parents were—people knew us, they knew my parents, they knew that there was a very nice muzungu in the neighbourhood. That was known, it was—",Interviewee,No Tension
A muzungu who spoke Kinyarwanda.,Interviewer,-
"A muzungu who spoke Kinyarwanda. And when people came over, they spoke Kinyarwanda to us. I even remember sometimes when I was leaving the house in the morning and when I would open the front gate, there was a line of four or five women waiting to talk to my mother, to tell her about their projects: “Oh, we’re trying to start a small cooperative” or “We want to start selling things at the market, we want to buy things to sell, fruits…” Every morning, there were two, three, four people waiting to talk to Mom, and Dad was grumbling all the time: “You see all these people coming to the house all the time to… You’re too kind, don’t let yourself be taken advantage of.” In any case, my mother really was a very caring person who helped people a lot. She was especially engaged in the cause of women. She was committed to the cause of the Rwandan woman, and she did a lot. And Dad too had made the most of—he had also succeeded. It was as if he wanted to give back to his friends who had helped him or his family. He was the leader in the family who was trying to encourage others to study, to start their own business. When people were about to get married, they would come to see him and ask him to participate in the expenses, it was—he also helped voluntarily. So those are the memories I have of my parents—their kindness.",Interviewee,Tension
"You told me about—you were the youngest, the last child in the family, you have a brother and a sister. Could you briefly tell us about the links, the relationships, the kind of relationships you have with your brother and your sister? First, who is the eldest? Is it your brother or your sister?",Interviewer,-
"The eldest is Catherine, my sister, and the way I remember her in Rwanda—she left Rwanda when she was 16 years old because, well, it wasn’t going well at school and also I think she often spoke of Belgium; she wanted to go study in Belgium and I think my parents sent her to Belgium. So I—during my childhood, my adolescence, I didn’t know my sister very well. The only memory I had of her was her running with my brother in the garden—I was younger and they often played together. She looked after me as big sisters do, but we didn’t play together. She was a bit like a second mom to me when I was little—we didn’t play together much. I only have very few memories of Catherine from when I was a child. With my brother Sam, on the other hand, we grew up together; we played all kinds of games together. I was constantly trying to follow him, even though he didn’t want me to always be in his way. We played a lot together and we were also fighting a lot. My impression is that when boys play too much together they often end up smacking each other. We fought a lot. But we had fun. We are brothers and we had a very straightforward relationship.",Interviewee,Tension
"What are some of the things you’ve kept from this relationship with your brother? Did your big brother influence you in any way, in your way of—your values, your behaviour? Are there any features about which you can say: “I think I’ve taken this from my big brother”—is there anything like that?",Interviewer,-
"Well, for sure Sam was someone who—in terms of sports, he was very athletic and I wanted to be better than him. I remember, for example, we played sports at school—long jumps, high jumps—and we were very good at these sports. Every time we played, I thought to myself, “I must be better than him.” I was emulating him, I watched what he was doing. And with time, I became better at high jump—I wasn’t better at all disciplines, but I managed to surpass him in some. We have an age difference of two years, so while growing up I was also catching up with him. He instilled in me good sports values and a discipline at the level of—[inaudible] in sports. He showed determination and I tried to be like him. Determination. Also, the interest in cars, in all things mechanic—all of that comes from him. He was always—I always competed with him: if he liked doing something, I had to do it too. For example, he liked the Audi car brand, so I had to get a car from another brand, Peugeot. We were constantly competing. Same thing with soccer: during the World Cup he was cheering for Germany and I was cheering for France, just to be different from him. It really was—and these weren’t my personal choices, these were choices in relation to him: he had decided on one thing, so I had to choose something else.",Interviewee,Tension
As a way to be different?,Interviewer,-
"Yes, I wanted to be very different from him, but at the same time, he was my role model.",Interviewee,Tension
Right.,Interviewer,-
"So, in fact, I didn’t want to admit that I wanted to be like him, so—",Interviewee,No Tension
"And now that you are both adults and have families, what is your relationship like? And what is the relationship [inaudible] and your sister?",Interviewer,-
"Now it’s—with my sister, over time, we managed to make up a little for lost years. When I arrived in Belgium in 1994, she took charge of things and I got to know her better then. There was really a gulf between us because we didn’t know each other during—pff—a good ten years; I didn’t see my sister every day during that time. And there is still a feeling of distance between Catherine and I—no doubt, the distance of all the years we didn’t see each other. And also because we have different characters—I’m much closer to Sam in terms of character and in my way of being, more generally. He is still my role model: starting a family, having stability in life. Whenever I have important decisions to make, I go and talk to him, not to my sister. My sister and I, we didn’t grow up together, and I feel that growing up with my brother has brought me closer to him and whether it’s planning to start a family or talking about future projects, I talk to him about those things. Yes.",Interviewee,Tension
"We will now briefly talk about your childhood, just to situate some of the elements… You mentioned earlier that you’ve lived in Kicukiro with your parents. Do you remember any friends who lived in the neighbourhood or neighbours, your neighbours’ children—did you have any difficulties playing with these kids? Could they come to your house and could you go to theirs? Just briefly talk to us about life in your neighbourhood.",Interviewer,-
"I’ve always considered myself a kid from the neighbourhood. Despite being very mature, I liked going out, being outside of home, going to the neighbours’ house… I often found myself in my neighbours’ kitchens, eating ubugari with ibishyimbo. I had no problems going to the neighbours’ and [my parents] were looking for me—they would run after me: “Kiko, where are you? You have to come home now!” I would hear them calling from afar and I would go home. So I always was like a—I went wherever I wanted in the neighbourhood, without discrimination. People saw me as a muzungu, but hey, no matter! At the end, they would realize that I was no different from them. I was able to fit in easily. I played basketball with the other kids in the neighbourhood. I sometimes even shared meals with the caretakers at home, the abazamu, as they are called. I had no barriers, I didn’t put up any barriers, it was more the others who perhaps saw me differently. But just by talking to me, they would see that I was like them.",Interviewee,No Tension
"And what about the parents’ upbringing of boys and girls—how did that play out in your neighbourhood? While you lived there, in your neighbourhood, were parents raising boys and girls differently? Did parents provide a different kind of education to the girls in the family? To your sister, for example? Tell us about that.",Interviewer,-
"My sister’s upbringing—the few years that I remember because she left at 16—well, things were quite conflictual at home because she didn’t get along very well with Dad. I don’t remember exactly why, but I think it had something to do with school, things were not going well at school and she also had a bit of a difficult character, so it was very—and with my mom too. My mom tried to be a mediator between them, but—but I can’t really make observations on the upbringing of girls, based only on the case of my sister. If I consider, rather, my cousins, it was—I didn’t notice anything particular. The girls played with the boys, we played together, there was no—",Interviewee,Tension
No difference?,Interviewer,-
"No, there really wasn’t a particular difference.",Interviewee,No Tension
"So, at school, did you establish any connections, relationships? You mentioned just now that your father was strict and demanding, particularly when it came to your report cards. But how were things with your teachers? Do you remember anything particular about your teachers?",Interviewer,-
"Yeah, well, being at school was not an easy time for me, because from the start I wasn’t a good student. I didn’t put in the necessary effort to catch up with the others. It was as though I knew I wasn’t a good student and I thought, “Well, I’ll resign myself to do the minimum of effort.” I remember one of my teachers in particular—his name was Monsieur André, well, his name is still Monsieur André—he was my math teacher. Things were not going well between him and I in his classes. It was—I always had bad grades and he—well, he wasn’t trying to help me either. His was the class I didn’t like at all so my worst memories are from this math class at the École belge in Kigali—[laughter]—with my teacher, Monsieur André, who was very strict, and whom everyone feared, and I was the one bearing the brunt of his punishments: I had to clean the blackboard, anything that needed to be done, anything unpleasant, I was always the one to do it.",Interviewee,Tension
Was there a school subject that you particularly liked? What was your favourite subject?,Interviewer,-
"Geography, history classes, drawing—I was very good at drawing—and also gym class, those were my favourite. I hated anything that had to do with science. And even—I remember one day, I brought home a marked math assignment, and I think he had given me something like two out of ten; I showed it to Mom and said, “Mom, what do you want me to do, I’m not good at math?” She said—she admitted that math was also her pet peeve, she said, “You know, math is not my strong suit either.” In fact, sometimes I showed her my [math] homework and she wasn’t able to correct it or to help me. And then my dad’s reaction, instead of trying to see if he could do anything [to help], was to say, “I’m going to get you private lessons, okay?” So there was this teacher who was coming to our house and who was trying to bring my math skills up to speed. It wasn’t easy, but I always managed to narrowly pass my math class. That’s it.",Interviewee,Tension
"So what direction did you take, after all, after high school, what kind of training did you find most interesting?",Interviewer,-
